time	0h	0h	0h	0h	0h	0h	0h	0h	0h	4h	4h	4h	4h	4h	4h	4h	4h	12h	12h	12h	12h	12h	12h	12h	12h	12h	24h	24h	24h	24h	24h	24h	24h	24h
UDP-glucuronic acid	0.496925494	0.144791498	0.20230271	0.398439629	0.294203787	0.870692556	0.747009998	0.97551203	0.923886455	0.211560854	0.804365931	0.3642905	0.77682009	0.499157584	0.174044738	0.956464338	0.329185886	0.534053706	0.678977698	0.173629261	0.344305312	0.163252736	0.227210939	0.378241992	0.101154387	0.147990051	0.700014323	0.109593472	0.633465991	0.192212503	0.997579871	0.993077699	0.892744382	0.312175586
tyrosine	0.957567053	0.623194628	0.525971884	0.65402356	0.985050525	0.491073576	0.254747906	0.153153524	0.705935257	0.993713974	0.265693267	0.935951906	0.258944261	0.305435104	0.283360395	0.263770171	0.016541809	0.855960752	0.93658413	0.366642927	0.243368441	0.091787352	0.226512694	0.229677677	0.149613574	0.752413629	0.535376134	0.398467697	0.61969596	0.289017592	0.756082506	0.698390683	0.95834437	0.035256162
tryptophan	0.977842803	0.716847165	0.833785115	0.355767805	0.735791397	0.743684324	0.687091858	0.654988231	0.617736175	0.597052399	0.680725894	0.022081347	0.988042454	0.261061305	0.933819763	0.892608753	0.127555162	0.911434701	0.490707606	0.650869187	0.861839043	0.792578846	0.53675091	0.668527799	0.604381245	0.187136969	0.028846064	0.675498749	0.317933794	0.763792815	0.381405003	0.804107036	0.722599233	0.017230816
trans-4-hydroxyproline	0.358020263	0.190635688	0.792797554	0.511598206	0.758569028	0.667355477	0.984268457	0.199330297	0.691748738	0.276531181	0.856018209	0.215885018	0.287478873	0.334474015	0.707886054	0.591426223	0.343179925	0.038015753	0.3988974	0.915719258	0.838756252	0.448935034	0.133003743	0.070941701	0.953817001	0.199121192	0.251731315	0.198427299	0.317465798	0.998997046	0.799196004	0.351165018	0.405352016	0.894785668
tocopherol alpha-	0.781825928	0.662564007	0.709887158	0.997540875	0.813870063	0.623170037	0.17864131	0.578352049	0.634385308	0.720647495	0.960482968	0.45066008	0.832747888	0.46593925	0.678022146	0.781870924	0.545831998	0.935881009	0.615965273	0.151437555	0.900359897	0.527204861	0.067439826	0.143293245	0.595784633	0.835442351	0.385471394	0.346166886	0.648896743	0.471348148	0.146902872	0.18244787	0.654743894	0.425766452
thymine	0.77806944	0.046525237	0.003237692	0.3014965	0.384838284	0.016972094	0.127440051	0.20399132	0.719904801	0.279000438	0.98290274	0.822478592	0.288962187	0.211704473	0.760778482	0.995970275	0.660143361	0.392189215	0.561068314	0.532074807	0.775218296	0.566554986	0.026394721	0.9505675	0.732320738	0.969379199	0.169982553	0.693400597	0.036753712	0.479082625	0.690394838	0.639074379	0.311086257	0.767502141
thymidine	0.472042078	0.317967022	0.526333267	0.793456249	0.200596702	0.47798165	0.229552878	0.832439244	0.611709539	0.937135185	0.685418999	0.317404546	0.595006895	0.989303083	0.284911745	0.885713655	0.680295272	0.825689718	0.033114346	0.401401123	0.662481733	0.645636577	0.112763702	0.861335756	0.85788018	0.290382591	0.404696554	0.628690764	0.392483593	0.736011073	0.462741829	0.720825738	0.580123415	0.768476772
threonine	0.701156054	0.865051497	0.758633793	0.199392199	0.198748776	0.722671328	0.049210613	0.333143902	0.845099115	0.286706443	0.257842647	0.517929416	0.186098554	0.755366985	0.717698329	0.348183295	0.43768767	0.646124132	0.26105961	0.453915899	0.430781696	0.787172977	0.432149905	0.522933664	0.284008086	0.965738226	0.306718037	0.523857727	0.372535878	0.206162502	0.711080904	0.193243239	0.515003055	0.817013899
threonic acid	0.460010396	0.785245828	0.624500622	0.328501599	0.556736448	0.625503521	0.957573102	0.665387459	0.809755063	0.227605379	0.109709549	0.606626736	0.740944641	0.649294181	0.927663647	0.021507947	0.955809453	0.857542875	0.543258386	0.581458235	0.614489321	0.302187411	0.256829081	0.249122911	0.60176433	0.173536255	0.919885273	0.00727801	0.394718441	0.188575495	0.466014909	0.638921117	0.277815215	0.485632402
taurine	0.385179113	0.174006253	0.340229211	0.983210302	0.339194726	0.263329265	0.606242026	0.641392166	0.377935163	0.764201702	0.422602821	0.419251103	0.826385342	0.146457424	0.56905593	0.208436019	0.983875735	0.246590785	0.469597308	0.817052094	0.27743692	0.423127412	0.479459323	0.443903283	0.731748608	0.39898197	0.617445717	0.191314355	0.810444591	0.697394329	0.879783033	0.912796486	0.772217933	0.11173618
sulfuric acid	0.59133311	0.60040805	0.75241035	0.330776674	0.64755402	0.174934718	0.273069379	0.892916269	0.245812628	0.889233344	0.562860465	0.761578248	0.371535865	0.471729894	0.628369984	0.620548961	0.651256326	0.69177252	0.419916643	0.688125943	0.120943586	0.980905044	0.744370839	0.909287	0.698353563	0.257317365	0.114367312	0.632194538	0.408225701	0.150196703	0.091627834	0.269736814	0.339125675	0.599428049
