time	0h	0h	0h	4h	4h	4h	12h	12h	12h	12h	24h	24h	24h
tyrosine	0.591845825	0.534999514	0.949680351	0.209738387	0.49395452	0.674393194	0.61091157	0.47511262	0.378937606	0.575926592	0.411600573	0.60153205	0.784122193
tryptophan	0.237020592	0.495873201	0.844948123	0.81033621	0.608013686	0.156949009	0.533860138	0.781290718	0.69609685	0.989338122	0.697600325	0.67305678	0.042392797
trans-4-hydroxyproline	0.774926337	0.13767739	0.586097754	0.603432046	0.678838321	0.832896574	0.955734128	0.628187404	0.030516256	0.179325771	0.330021596	0.658321589	0.435122898
tocopherol alpha-	0.744659733	0.242040795	0.95956141	0.158042276	0.042859668	0.694816478	0.494730131	0.828144709	0.321138294	0.05484574	0.408632716	0.393754595	0.890780559
thymine	0.130639672	0.696691522	0.019633095	0.630859661	0.001952613	0.447864851	0.541563692	0.394523958	0.474882357	0.600453042	0.667707469	0.994673877	0.5135868
thymidine	0.214153161	0.392553317	0.698956675	0.611171179	0.613664471	0.254065083	0.945576222	0.844401582	0.205768965	0.8775123	0.069541232	0.723601191	0.631076601
threonine	0.404855542	0.282549116	0.177080644	0.484023246	0.599608457	0.317443061	0.463622068	0.812374978	0.225038318	0.553668451	0.48950375	0.708480392	0.382370582
threonic acid	0.664041703	0.022750588	0.155014971	0.168106819	0.327307198	0.816191446	0.771561995	0.590555203	0.314405255	0.815526765	0.686003166	0.848614052	0.44192538
taurine	0.722177471	0.206746038	0.645636586	0.52374899	0.902028083	0.082849041	0.235025458	0.53079517	0.000205825	0.948951459	0.11281633	0.502893259	0.636901248
sulfuric acid	0.942077386	0.867986528	0.368733828	0.237987945	0.367311981	0.925804453	0.492408079	0.836334859	0.174279722	0.942310328	0.155848037	0.921305846	0.234698729
sucrose	0.934182976	0.334184562	0.117445306	0.446581142	0.760647332	0.019292841	0.76978475	0.309445693	0.006510809	0.77805391	0.044512769	0.411193377	0.832475641
succinic acid	0.118154874	0.583967729	0.286414001	0.910614492	0.572199742	0.929282265	0.269507658	0.906266237	0.193132873	0.017097377	0.415591048	0.658623429	0.94617289
stearic acid	0.421562539	0.313547416	0.321077888	0.823341882	0.229492357	0.546794003	0.977420872	0.147616858	0.998398598	0.716664891	0.484757103	0.869028707	0.564374485
sorbitol	0.419788745	0.581984199	0.938872059	0.093653712	0.917900261	0.451522427	0.737616718	0.290931335	0.694656556	0.752285742	0.446369433	0.883598939	0.909562707
serine	0.135715719	0.146244041	0.664400856	0.327547335	0.480905295	0.125845287	0.741252142	0.459800547	0.257201371	0.305571802	0.615481585	0.371398588	0.978408711
salicylic acid	0.994217159	0.537945792	0.787744171	0.043792241	0.74756102	0.800979263	0.661994537	0.333669539	0.034183647	0.635959529	0.40705665	0.88837646	0.15608388
saccharic acid	0.71057026	0.532387692	0.079261706	0.653358241	0.843644462	0.104860131	0.099631121	0.92709644	0.265267497	0.22208873	0.444336431	0.043578983	0.195929963
ribose	0.392547712	0.50830165	0.582521433	0.7112884	0.534419229	0.112429337	0.471126966	0.428108234	0.113275574	0.281025649	0.853306896	0.402467811	0.588685566
ribonic acid	0.793960477	0.787243923	0.443223562	0.389890724	0.995866424	0.517815433	0.786852567	0.356063017	0.238088725	0.479290685	0.907753321	0.845259639	0.700937101
quinic acid	0.022176085	0.851778844	0.960265443	0.324129653	0.292072143	0.32745938	0.209522024	0.798460021	0.292144577	0.707361334	0.558038717	0.662851524	0.949706036
pyruvic acid	0.034918858	0.174999666	0.226040003	0.223751708	0.129359742	0.067219833	0.616458996	0.484382993	0.691321847	0.062784969	0.868783841	0.805920719	0.432907541
pyrophosphate	0.092297642	0.869272904	0.491117604	0.681377723	0.146443886	0.73414114	0.573471339	0.617522499	0.261071283	0.935627248	0.526402003	0.690208981	0.954183999
putrescine	0.73896589	0.931083323	0.869775433	8.04354E-05	0.395846358	0.617014851	0.440795867	0.718713913	0.51097486	0.159161694	0.639469528	0.68270261	0.901686622
p-tolyl glucuronide	0.803736478	0.179551648	0.049789291	0.725823884	0.963269159	0.276169942	0.114851362	0.963063979	0.854225491	0.868703282	0.604465781	0.616746515	0.076086778
pseudo uridine	0.029867636	0.794899856	0.281044307	0.170757143	0.125332738	0.329333593	0.076490497	0.057234778	0.995090175	0.964013384	0.55151414	0.094894514	0.783837378
propane-1,3-diol NIST	0.770507374	0.676276315	0.895327435	0.491355072	0.476262082	0.750418964	0.041304652	0.93092503	0.04138875	0.281026597	0.067549251	0.139917495	0.334266601
proline	0.417003686	0.805656819	0.2478061	0.946265403	0.282493027	0.046527935	0.674208174	0.428491039	0.017831099	0.253979514	0.184629728	0.719959352	0.344746101
pipecolinic acid	0.248556412	0.008638297	0.838769753	0.678636578	0.056144037	0.299110232	0.550661664	0.855887935	0.323945167	0.623708677	0.920735069	0.607212906	0.996231349
pinitol	0.104438226	0.349111112	0.015022152	0.086966663	0.489037488	0.498443007	0.169453021	0.439379647	0.132157991	0.568135774	0.528487171	0.084526085	0.312058173
phosphoethanolamine	0.811181233	0.847639556	0.599396327	0.085537304	0.371564865	0.890305667	0.254430762	0.032579622	0.310033727	0.676877774	0.752828609	0.041551391	0.826265222
phosphate	0.144252859	0.246249191	0.936052083	0.93900669	0.44172017	0.358585713	0.028957407	0.874153568	0.608880552	0.192936342	0.117949169	0.919910055	0.773966041
phenylethylamine	0.485447613	0.582121593	0.997124541	0.538627387	0.962503747	0.497948005	0.765544658	0.523487222	0.949393608	0.858778503	0.324329679	0.35095729	0.452740709
phenylalanine	0.21098044	0.425559099	0.813971374	0.371581766	0.219429972	0.538269283	0.077062732	0.465556597	0.991423909	0.221774477	0.742034107	0.8479085	0.080512542
phenol	0.267905891	0.532126651	0.827898513	0.95609368	0.042637876	0.381422688	0.53011361	0.051917932	0.667209361	0.154165474	0.620898725	0.692856076	0.508875462
phenaceturic acid	0.76489517	0.844962705	0.123138248	0.634330738	0.097355821	0.782340304	0.194039139	0.31896856	0.237642961	0.847926168	0.388261979	0.51811234	0.524044558
pentadecanoic acid	0.989178722	0.853561922	0.254225755	0.119557525	0.097895914	0.513482924	0.920472424	0.800481384	0.610712378	0.194017429	0.832928083	0.95989981	0.603309467
pelargonic acid	0.826990627	0.136158471	0.30431384	0.117508697	0.923103323	0.772143852	0.685711868	0.16910853	0.919012823	0.998798941	0.424686	0.639818224	0.401769063
pantothenic acid	0.336279241	0.688174573	0.16773845	0.826230662	0.008775643	0.014703002	0.16982078	0.987997521	0.813664096	0.504374968	0.365170935	0.566444427	0.800928663
palmitoleic acid	0.28905881	0.495920532	0.742250452	0.083815049	0.446532918	0.656370544	0.02088564	0.731144601	0.808750864	0.441105363	0.746227354	0.298530643	0.74513557
palmitic acid	0.848246686	0.116802759	0.220858579	0.747631424	0.137699911	0.53441603	0.227838372	0.298993722	0.930209315	0.668657742	0.793457461	0.647972653	0.350916117
oxoproline	0.945798045	0.797026273	0.386886297	0.773749044	0.295546264	0.853826157	0.896179942	0.949620242	0.091715843	0.556322157	0.933865093	0.159400438	0.136998692
oxalic acid	0.692313336	0.494190252	0.726953996	0.713072727	0.330117207	0.221259911	0.763430903	0.045519488	0.361944068	0.395231881	0.237103033	0.756480037	0.915261468
orotic acid	0.177838108	0.684668448	0.383107689	0.382895475	0.100980258	0.68804675	0.871585703	0.596791398	0.20940861	0.479276766	0.85662312	0.211704333	0.928353806
ornithine	0.262617114	0.002639133	0.237038145	0.31951715	0.028693268	0.761961462	0.772365538	0.828719	0.427853346	0.017712345	0.52269725	0.626502761	0.822593621
oleic acid	0.62972463	0.214772556	0.124175518	0.562114397	0.676354668	0.375408021	0.301626926	0.229389697	0.623526162	0.190738379	0.76880697	0.511464281	0.030495451
oleamide NIST	0.427238852	0.411863804	0.23247864	0.494684054	0.059474946	0.995116632	0.270162587	0.063014256	0.018211736	0.782425202	0.53539325	0.964359369	0.402630215
N-methylalanine	0.368586472	0.501696391	0.067082781	0.260967137	0.522388901	0.493721978	0.360366961	0.098946406	0.62745935	0.419733005	0.516069343	0.381982375	0.097096282
nicotinamide	0.243430887	0.653399219	0.850750056	0.467753972	0.23408292	0.973349276	0.299085411	0.144075372	0.136812381	0.801390984	0.211263801	0.860387972	0.642258372
N-acetylmannosamine	0.766846632	0.358030945	0.184825211	0.803101558	0.863586947	0.690842284	0.940271267	0.632210262	0.879895418	0.666391058	0.551221926	0.370016587	0.51830623
N-acetylglycine NIST	0.251594997	0.83594001	0.598648209	0.154626735	0.279047161	0.232531431	0.346792743	0.555612743	0.949271225	0.501101043	0.976505097	0.913856352	0.250202716
n-acetylglutamate	0.723324056	0.006062587	0.640846171	0.23133194	0.421809576	0.772969223	0.898125243	0.311701539	0.607488287	0.935433308	0.441981708	0.392132732	0.631561417
N-acetyl-D-tryptophan	0.660481163	0.683438773	0.310822383	0.38431036	0.848615537	0.521004715	0.989730631	0.601600497	0.908796027	0.861400964	0.119182622	0.985413997	0.091871509
n-acetyl-d-hexosamine	0.826593559	0.84404744	0.337593756	0.353273136	0.393195297	0.121162548	0.537711903	0.507438218	0.602717747	0.511317119	0.898345141	0.840145485	0.244391369
myristic acid	0.982417226	0.544155181	0.35732507	0.797086429	0.340263526	0.711828982	0.867797619	0.704227532	0.640607069	0.095586341	0.816216909	0.84409775	0.668430078
myo-inositol	0.074300093	0.066898901	0.88181547	0.444189972	0.70282739	0.842677139	0.666801749	0.480797821	0.060423477	0.41292549	0.150817682	0.746142762	0.917054912
methionine sulfoxide	0.394437499	0.750811497	0.673890718	0.921680715	0.894891958	0.004503063	0.629953912	0.771420281	0.098818793	0.622855769	0.420820856	0.936516993	0.846231199
methionine	0.849886627	0.099967926	0.689587563	0.166745081	0.342169479	0.134725086	0.713024194	0.642055471	0.224447622	0.033726341	0.743602643	0.025286454	0.033191796
methanolphosphate	0.757203229	0.767090797	0.346254708	0.352040622	0.634544704	0.232296778	0.08557142	0.362166466	0.639202952	0.844962546	0.767751615	0.874610394	0.98052833
mannose	0.100965251	0.736270137	0.891805675	0.588904488	0.195432563	0.174868573	0.843734827	0.989778724	0.13757016	0.235919407	0.716134518	0.80352442	0.215980917
mannonic acid NIST	0.934396302	0.959344819	0.10464158	0.733286052	0.890036723	0.337764176	0.216032385	0.216833186	0.459909672	0.534494001	0.250352655	0.065374122	0.182117816
mannitol	0.944624881	0.168939323	0.014965987	0.013637935	0.408154793	0.440105611	0.542857703	0.593211929	0.118617618	0.36228863	0.91803981	0.226813611	0.781190483
malonic acid	0.904446018	0.53537001	0.824007817	0.896197746	0.175754091	0.794623665	0.210094978	0.189109649	0.383530034	0.191892814	0.135573181	0.738760933	0.143016949
malic acid	0.505449631	0.754021926	0.901983238	0.298072824	0.825651204	0.749979665	0.723227202	0.690742227	0.995285752	0.995766815	0.406611882	0.680229957	0.792854012
lyxose	0.695850013	0.728873998	0.675075966	0.882403253	0.581584618	0.02111265	0.596940731	0.380197096	0.245580457	0.21227986	0.732203747	0.049478242	0.503741648
lyxitol	0.778986784	0.103950855	0.122626838	0.728689118	0.479298257	0.454771919	0.842677861	0.528204862	0.326747666	0.306313935	0.426825688	0.563172992	0.975606382
lysine	0.898442799	0.763697168	0.17613942	0.953574917	0.905918767	0.778066928	0.443351497	0.141710233	0.867851241	0.858867475	0.501444206	0.228756993	0.165547925
linolenic acid	0.006845141	0.199711592	0.558286776	0.007386937	0.177005823	0.439644006	0.761625923	0.59459917	0.67980423	0.633292805	0.602352219	0.930031832	0.730236525
linoleic acid	0.234997788	0.597610074	0.296584068	0.067047268	0.459651705	0.798475057	0.308235522	0.267536892	0.696511651	0.182405737	0.804170339	0.932259268	0.481076613
leucine	0.532521604	0.245453046	0.943331187	0.211246379	0.043161129	0.388422217	0.54077956	0.258305191	0.840534965	0.713084197	0.035021158	0.703301377	0.589406151
lauric acid	0.608714474	0.37236895	0.031608722	0.179727869	0.854317028	0.563343008	0.686463137	0.529137574	0.187921868	0.781726172	0.744714216	0.003994579	0.227576113
lactulose	0.069281908	0.98142522	0.836568789	0.632919371	0.678500533	0.514753366	0.216541074	0.528911122	0.192051183	0.685672133	0.016427584	0.978192253	0.942532907
lactic acid	0.983573843	0.398727733	0.850648797	0.316952215	0.725337621	0.484915435	0.390982887	0.240873299	0.295413485	0.237810299	0.101533148	0.327161547	0.805716756
lactamide	0.515445461	0.034205653	0.758899026	0.549682837	0.772845562	0.268163436	0.854137987	0.727203827	0.903502763	0.08098818	0.449110658	0.193635435	0.073035773
kynurenine	0.061656871	0.691165803	0.265650234	0.588002184	0.954691837	0.694197977	0.240196778	0.04550015	0.812425984	0.859636012	0.604843949	0.090736792	0.528229265
itaconic acid	0.643834864	0.494644454	0.749125801	0.804411502	0.880507071	0.844277849	0.807359001	0.732684211	0.863592356	0.742725661	0.633823899	0.37538228	0.183787244
isothreonic acid	0.445300915	0.527778051	0.944353118	0.375796593	0.387108312	0.985108096	0.61027086	0.588354244	0.735646777	0.950242733	0.292359488	0.330386947	0.007014774
isothreitol	0.882085262	0.502462148	0.487103172	0.524550538	0.760710761	0.550615855	0.123797176	0.239419771	0.978786283	0.204048127	0.757280749	0.71872024	0.109656164
isoleucine	0.178742401	0.93121944	0.135353138	0.185157774	0.036646793	0.237983262	0.480996066	0.745895544	0.469089478	0.722567992	0.233266844	0.129529921	0.710967005
isohexonic acid	0.02702572	0.05840866	0.718285775	0.30429833	0.069099911	0.398274276	0.370937455	0.275928746	0.845544463	0.411278558	0.124373016	0.371875591	0.87832011
isocitric acid	0.673297561	0.985968337	0.876081851	0.210499808	0.030506834	0.220706787	0.854064945	0.789740909	0.349592823	0.842762565	0.622060128	0.511174194	0.960206511
inosine	0.308072573	0.568237768	0.327667464	0.840316702	0.623508731	0.491862112	0.776497309	0.795663178	0.787687468	0.00054909	0.036249149	0.513609432	0.175490221
indoxyl sulfate	0.977836309	0.407681337	0.170119317	0.459230879	0.911531343	0.548022585	0.94857056	0.505020032	0.472013179	0.340358749	0.276867471	0.268109182	0.562930332
indole-3-lactate	0.11660076	0.610008044	0.45753536	0.336975051	0.918800323	0.52449063	0.771319241	0.057335744	0.59932239	0.441960547	0.095781562	0.814632783	0.981271605
indole-3-acetate	0.772647432	0.926069766	0.258733466	0.959053471	0.362798588	0.362587027	0.104952029	0.782809858	0.950130939	0.375700653	0.321849067	0.300594474	0.151846426
hydroxylamine	0.287033465	0.936467101	0.19090509	0.297058157	0.495058313	0.681747611	0.601213071	0.805961155	0.879707551	0.806106703	0.227849989	0.571142818	0.922589812
hydroxycarbamate NIST	0.806498103	0.489611656	0.750782709	0.511933076	0.365921455	0.604368514	0.745814544	0.980064509	0.451274252	0.285121631	0.638434804	0.95679408	0.09615814
hydrocinnamic acid	0.960892895	0.656963116	0.619435319	0.550730946	0.037861842	0.696078277	0.25076786	0.978529363	0.91412015	0.870240305	0.043549018	0.552368682	0.954475983
histidine	0.478658424	0.636066039	0.333326435	0.396138444	0.613888207	0.111407963	0.743957851	0.4173319	0.784804025	0.033025773	0.281780708	0.162853455	0.081411742
hexuronic acid	0.077392142	0.587289981	0.784154473	0.643458745	0.285461171	0.4355363	0.38473703	0.599673683	0.601928227	0.981208758	0.590888331	0.716346906	0.657096344
hexose	0.374339822	0.361107351	0.327157149	0.480160659	0.528000713	0.667095691	0.675753359	0.116615317	0.408786008	0.174791443	0.692335716	0.852273524	0.302554492
hexitol	0.128077594	0.096753594	0.129380912	0.566136864	0.62928514	0.216598872	0.642296219	0.193384353	0.628083137	0.8169081	0.751143186	0.106682874	0.780196417
hexadecane	0.558652581	0.339161712	0.636989084	0.565873956	0.839977091	0.726206323	0.932951845	0.437771281	0.812534588	0.739934189	0.29641396	0.633974854	0.866972155
heptadecanoic acid	0.934619433	0.935391919	0.197657053	0.613549828	0.582687834	0.410044472	0.947352376	0.703692063	0.942175273	0.357444073	0.886875775	0.80077091	0.371689209
glycyl proline	0.416348233	0.64674936	0.283013075	0.054576887	0.243971486	0.332955914	0.69906938	0.14468047	0.073789098	0.706651291	0.054586271	0.724789958	0.91730884
glycolic acid	0.216901816	0.104439379	0.359686812	0.562546155	0.196948073	0.373834633	0.985892167	0.357887921	0.732371954	0.160567267	0.641835822	0.147039943	0.691405508
glycine	0.058097072	0.935172073	0.946737975	0.874570975	0.941726291	0.777231371	0.062941717	0.35733348	0.962359053	0.798816953	0.464005786	0.088108926	0.591904146
glycerol-alpha-phosphate	0.354357694	0.099220196	0.291123764	0.652082882	0.99083193	0.324711646	0.534286129	0.644511532	0.909120156	0.005376843	0.05183283	0.570909377	0.679050441
glycerol	0.706109602	0.544864604	0.585120441	0.205748502	0.70863916	0.729309531	0.240879373	0.098469863	0.571304201	0.876398732	0.229628277	0.19111623	0.466889696
glyceric acid	0.723524736	0.544204916	0.857570592	0.072830403	0.381051335	0.779880075	0.128742179	0.801611504	0.948453849	0.76181604	0.818804582	0.7234635	0.670877684
glutaric acid	0.93197896	0.417231674	0.593512889	0.561408068	0.865873338	0.332483634	0.934662236	0.722916856	0.63825468	0.963205713	0.274973599	0.888214698	0.545612057
glutamine	0.101115338	0.543198196	0.561519525	0.360337581	0.89294696	0.76591612	0.161009393	0.324647908	0.55158488	0.354092861	0.161387788	0.150728888	0.538664749
glutamic acid	0.144299937	0.801962411	0.805849452	0.94449834	0.779658174	0.904153581	0.169433682	0.336307555	0.174766758	0.555982722	0.383674681	0.026288728	0.673121936
glucose-6-phosphate	0.37113466	0.274376193	0.737015277	0.064939466	0.826049298	0.033321178	0.755010165	0.350696222	0.324115276	0.246358061	0.189660777	0.526590207	0.900653353
glucose-1-phosphate	0.539417322	0.586279652	0.375939272	0.839301958	0.689866196	0.042340935	0.505365827	0.537303894	0.548499684	0.87096263	0.3698573	0.465205249	0.892877594
glucose	0.922550994	0.109413679	0.062053511	0.969115564	0.500273939	0.17323786	0.434514029	0.92557856	0.403548785	0.377959902	0.748443579	0.546662412	0.745656302
gluconic acid	0.097070548	0.020465845	0.041658296	0.050494534	0.172005679	0.914675186	0.247585551	0.887760062	0.612675895	0.768346711	0.903250826	0.795630227	0.274128873
glucoheptulose	0.739855787	0.799750772	0.567871259	0.029119438	0.77369325	0.618439615	0.428024938	0.883578286	0.650529563	0.315820953	0.281260662	0.796176985	0.83354991
galacturonic acid	0.143729197	0.947213373	0.212965273	0.643250077	0.458981371	0.718013098	0.40619213	0.847023558	0.621026729	0.002865873	0.155961739	0.869097865	0.204215576
galactonic acid	0.303094929	0.062016163	0.008216033	0.949761298	0.847705608	0.398568828	0.868045526	0.449015004	0.249574593	0.594873629	0.605662819	0.376801454	0.083541036
fumaric acid	0.476982116	0.643705369	0.729330721	0.498304575	0.870973855	0.456675031	0.693591729	0.924774123	0.758558945	0.79744942	0.090967414	0.221409153	0.49593728
fucose	0.360626483	0.59385584	0.247329553	0.142563061	0.978096071	0.885867926	0.389828394	0.15125955	0.474393628	0.69338603	0.97036983	0.593609713	0.464218574
fructose	0.606712724	0.578892313	0.763324668	0.726415131	0.405436587	0.993415339	0.139932284	0.875114868	0.871240174	0.337770593	0.804900119	0.540865068	0.261381987
ethanolamine	0.275426698	0.590216599	0.539243614	0.401057172	0.421376033	0.441019642	0.197663448	0.571649122	0.325541955	0.655251317	0.391016419	0.894261063	0.209401265
docosahexaenoic acid	0.645238442	0.185318628	0.093950597	0.146221183	0.89043452	0.589706152	0.476073954	0.296609429	0.306079115	0.420710949	0.647981975	0.641679124	0.042405054
deoxypentitol	0.133795325	0.758487456	0.576378123	0.786146524	0.05832123	0.761444577	0.399474915	0.496116169	0.422267355	0.786237632	0.717510877	0.069388014	0.351480355
dehydroascorbic acid	0.617045801	0.098181447	0.634585667	0.90315843	0.983031039	0.99502124	0.412561297	0.103733558	0.392393697	0.465262027	0.565128371	0.155963857	0.654792863
cystine	0.534739145	0.640644131	0.009164415	0.707202499	0.341347607	0.246402204	0.22118069	0.026458674	0.46581017	0.03828446	0.34297097	0.457326571	0.995903736
cysteine	0.421266503	0.868160557	0.27633491	0.912184199	0.601381272	0.06472068	0.159347077	0.232159992	0.997673457	0.328658264	0.383813835	0.053001445	0.637463632
creatinine	0.600834364	0.837230967	0.535462037	0.051267648	0.133166849	0.398016983	0.842183884	0.6270817	0.731330469	0.258829288	0.999896103	0.332195333	0.697186428
conduritol-beta-expoxide	0.282583696	0.620775945	0.486456893	0.913397027	0.715867197	0.916121109	0.201435994	0.578787878	0.462429441	0.466565035	0.324122067	0.175741045	0.2169164
citrulline	0.554586983	0.588751617	0.156723057	0.83492208	0.414390112	0.872221232	0.75140436	0.678888949	0.369229319	0.978527245	0.44055882	0.089946134	0.670957467
citric acid	0.678393865	0.583434531	0.105509519	0.346507993	0.334801456	0.591473711	0.982707074	0.656849387	0.923495911	0.836787502	0.847101639	0.46071801	0.46011515
cis-gondoic acid	0.028926611	0.876024987	0.623253849	0.115716086	0.229661041	0.740893059	0.088596501	0.154021431	0.278135545	0.304743056	0.983473344	0.01311143	0.984148776
cholic acid	0.79463691	0.12869199	0.047686905	0.184534626	0.285154176	0.474153633	0.250499977	0.18032374	0.297077949	0.850691286	0.910222766	0.744481752	0.844820889
cholesterol	0.368242315	0.91596729	0.537582717	0.347133755	0.982081521	0.192997652	0.058906949	0.065107282	0.885768098	0.31790075	0.681804489	0.423352115	0.785130414
capric acid	0.067850728	0.792803452	0.603621436	0.042319185	0.310421523	0.911232817	0.682905463	0.098220527	0.478773399	0.962132299	0.232454542	0.341306891	0.961869378
butane-2,3-diol NIST	0.67839862	0.919454308	0.308979149	0.490656426	0.728016357	0.979173633	0.544490651	0.838834333	0.169020337	0.505296292	0.727647222	0.563920306	0.821019287
benzylalcohol	0.808948473	0.624387198	0.670218408	0.343064554	0.36760281	0.315677373	0.630466843	0.566084124	0.644468391	0.619472132	0.502347162	0.622284476	0.508494957
benzoic acid	0.258134846	0.319080898	0.819096428	0.485875889	0.043452474	0.983276679	0.456724394	0.081943188	0.842182326	0.870164589	0.908665661	0.307289588	0.117057584
behenic acid	0.612029424	0.702472113	0.452739987	0.048200219	0.450364395	0.564072831	0.306065891	0.011192741	0.596517696	0.383379921	0.137455319	0.627835499	0.062215228
aspartic acid	0.487821455	0.560828721	0.038841079	0.083787056	0.162022417	0.535404187	0.832523687	0.731316706	0.467818715	0.015747403	0.39752613	0.539042485	0.58195647
asparagine	0.933407768	0.682519009	0.443367672	0.66076436	0.278453184	0.785114544	0.223158914	0.068768978	0.822544392	0.355415296	0.993564656	0.76592094	0.732644479
arachidonic acid	0.171711623	0.776717826	0.912542961	0.826227666	0.420709597	0.218541568	0.328231949	0.973294152	0.485754023	0.258996018	0.485450372	0.346995208	0.186715561
arachidic acid	0.290010682	0.623969704	0.641968092	0.33057941	0.266919487	0.895061817	0.854626705	0.284742832	0.892322965	0.620453693	0.018419175	0.264141635	0.80432115
arabinose	0.259719769	0.350364231	0.499818046	0.721019993	0.795262808	0.199429039	0.090593376	0.585474375	0.234682986	0.554852983	0.492940727	0.614895283	0.06903871
aminomalonate	0.004410058	0.010832355	0.0654745	0.203844701	0.754295751	0.223066735	0.78733224	0.295208696	0.076172695	0.583211002	0.431101625	0.598697781	0.867955276
alpha-ketoglutarate	0.550444792	0.88423342	0.573067302	0.965760693	0.753599712	0.358499261	0.602641211	0.082305225	0.847941554	0.558357607	0.44107365	0.886897251	0.865376989
alpha-aminoadipic acid	0.860868806	0.538503568	0.635873143	0.926138087	0.993800593	0.259138824	0.051922681	0.156653381	0.582492485	0.435103158	0.098760822	0.499717454	0.738493928
allantoic acid	0.316551273	0.255325696	0.705580149	0.178910392	0.834423193	0.5074041	0.220786122	0.028224653	0.170206759	0.927349108	0.260903021	0.293108311	0.167950798
alanine	0.052290266	0.407596497	0.310422485	0.45457349	0.301514076	0.339993898	0.346203083	0.396129536	0.565439581	0.765295479	0.558385458	0.986856859	0.387363185
adipic acid	0.950385756	0.643800165	0.055929667	0.230844409	0.410538708	0.795655702	0.980679655	0.657978664	0.958273087	0.099280123	0.92233271	0.234767718	0.529757312
aconitic acid	0.827367058	0.844673999	0.2212607	0.637976019	0.094668083	0.824874734	0.4879128	0.382749833	0.771982341	0.583939961	0.923986896	0.515964875	0.031559264
acetophenone NIST	0.100910618	0.514240544	0.13132189	0.13479591	0.029272985	0.123129659	0.560579934	0.193154675	0.677129665	0.449270557	0.852734237	0.9671722	0.144297995
5-methoxytryptamine	0.353710003	0.698220549	0.257443107	0.552071621	0.481990134	0.949363776	0.409587057	0.170845476	0.434454203	0.289624099	0.149750723	0.51005391	0.261370745
5-hydroxy-3-indoleacetic acid	0.03935784	0.936971243	0.355425235	0.396544565	0.708533344	0.648321973	0.535008617	0.266368457	0.326226823	0.869958575	0.867334738	0.602983207	0.229683506
4-hydroxyphenylacetic acid	0.293713652	0.13174376	0.167167412	0.513241353	0.547229516	0.643086045	0.044928135	0.965528239	0.962333448	0.301712336	0.813282485	0.834329293	0.082352255
3-phosphoglycerate	0.286526629	0.413686106	0.335786243	0.328760803	0.051196211	0.518085213	0.508561354	0.721197604	0.126022374	0.259335028	0.285029677	0.508692906	0.616900005
3-hydroxyphenylacetic acid	0.408500168	0.516489769	0.556770073	0.59794556	0.590693432	0.366670405	0.862898227	0.90885951	0.294845839	0.192190517	0.505255672	0.029722395	0.116236385
3-hydroxybutyric acid	0.924163173	0.487724027	0.374304434	0.683585474	0.872031172	0.949484657	0.761315103	0.57525291	0.412387098	0.753756939	0.279966597	0.094521456	0.438689599
3-hydroxy-3-methylglutaric acid	0.145571038	0.510991453	0.832916559	0.43789122	0.667731879	0.954185979	0.818091397	0.835962175	0.080990979	0.629319542	0.943699832	0.531193855	0.231964769
2-monoolein	0.270056542	0.966991686	0.787129269	0.772119597	0.452289015	0.752004339	0.733564721	0.469968712	0.479400017	0.435663766	0.068031579	0.485863689	0.981415024
